ZVIT SCHEMA YAKABOO (Deep Scan)
Total Records: 972,266
====================================================================================================
FIELD NAME                                         | % FILL   | TYPES           | EXAMPLES
reward_bonus.40.percent                            |    0.0%  | int             | 100; 100; 100
reward_bonus.40.sector_id                          |    0.0%  | int             | 40; 40; 40
reward_bonus.41                                    |    0.0%  | dict            | 
reward_bonus.41.is_extra_bonus                     |    0.0%  | int             | 0; 0; 0
reward_bonus.41.percent                            |    0.0%  | int             | 100; 100; 100
reward_bonus.41.sector_id                          |    0.0%  | int             | 41; 41; 41
reward_bonus.42                                    |    0.0%  | dict            | 
reward_bonus.42.is_extra_bonus                     |    0.0%  | int             | 0; 0; 0
reward_bonus.42.percent                            |    0.0%  | int             | 100; 100; 100
reward_bonus.42.sector_id                          |    0.0%  | int             | 42; 42; 42
reward_bonus.44                                    |    0.0%  | dict            | 
reward_bonus.44.is_extra_bonus                     |    0.0%  | int             | 0; 0; 0
reward_bonus.44.percent                            |    0.0%  | int             | 100; 100; 100
reward_bonus.44.sector_id                          |    0.0%  | int             | 44; 44; 44
reward_bonus.62                                    |    0.7%  | dict            | 
reward_bonus.62.is_extra_bonus                     |    0.7%  | int             | 0; 0; 0
reward_bonus.62.percent                            |    0.7%  | int             | 100; 100; 100
reward_bonus.62.sector_id                          |    0.7%  | int             | 62; 62; 62
reward_bonus[].customer_group_id                   |  187.0%  | int             | 0; 1; 0
reward_bonus[].is_extra_bonus                      |  187.0%  | int             | 0; 0; 0
reward_bonus[].percent                             |  187.0%  | int             | 50; 50; 50
reward_bonus[].sector_id                           |    0.1%  | int             | 2; 2; 2
short_description                                  |   66.3%  | str             | <p>This textbook provides a self-contained basi...; This Element develops a theory of institutional...; <p><em>Unifying the Field of Digital Twins for ...
sku                                                |  100.0%  | str             | 1506669; 20882943; 20882661
small_image                                        |  100.0%  | str             | /1/3/13370.1800x1800w.png; /9/7/9781484265963_0.jpg; /9/7/9780691264486_0.jpg
special_from_date                                  |   12.0%  | str             | 2025-05-06 00:00:00; 2024-02-07 00:00:00; 2024-02-01 00:00:00
special_price                                      |  100.0%  | int             | 0; 0; 0
special_price_incl_tax                             |  100.0%  | int             | 0; 0; 0
special_price_tax                                  |  100.0%  | int             | 0; 0; 0
statistics_visits                                  |   22.9%  | int             | 2; 2; 1
status                                             |  100.0%  | int             | 1; 1; 1
stock                                              |  100.0%  | list            | 
stock[].is_europe                                  |   87.1%  | bool            | False; False; True
stock[].is_in_stock                                |  115.9%  | bool            | True; True; True
stock[].product_id                                 |  115.9%  | int             | 3394631; 3394631; 3387355
stock[].qty                                        |  115.9%  | int             | 4; 0; 1
stock[].shipping_date                              |   79.0%  | str             | 2026-01-17; 2025-12-30; 2026-01-20
stock[].source_code                                |  115.9%  | str             | default_yakaboo; yakaboo_kyiv; supplier
stock[].stock_status                               |  115.9%  | int             | 1; 1; 1
tea_sort                                           |    0.2%  | list            | 
tea_sort_label                                     |    0.2%  | list            | 
tea_sort_label[].attribute_id                      |    0.2%  | str             | 4067
tea_sort_label[].attribute_label                   |    0.2%  | str             | Тип
tea_sort_label[].label                             |    0.2%  | str             | Открытки; Постеры; Скретч карты
tea_sort_label[].option_code                       |    0.2%  | str             | Otkrytki; Postery; Skretch_postery
tea_sort_label[].option_id                         |    0.2%  | str             | 772163; 772164; 777617
tea_sort_label[].sort_order                        |    0.2%  | str             | 100
tea_sort_label[].url_path                          |    0.2%  | null            | 
thumbnail                                          |  100.0%  | str             | /1/3/13370.1800x1800w.png; /9/7/9781484265963_0.jpg; /9/7/9780691264486_0.jpg
total_sales                                        |    1.1%  | int             | 10; 15; 13
tourism_stuffbags                                  |    0.0%  | list            | 
tourism_stuffbags_label                            |    0.0%  | list            | 
tourism_stuffbags_label[].attribute_id             |    0.0%  | str             | 3847
tourism_stuffbags_label[].attribute_label          |    0.0%  | str             | Тематика
tourism_stuffbags_label[].label                    |    0.0%  | str             | Другое
tourism_stuffbags_label[].option_code              |    0.0%  | str             | Drugoe
tourism_stuffbags_label[].option_id                |    0.0%  | str             | 724840
tourism_stuffbags_label[].sort_order               |    0.0%  | str             | 100
tourism_stuffbags_label[].url_path                 |    0.0%  | null            | 
tourism_typemats                                   |    0.0%  | list            | 
tourism_typemats_label                             |    0.0%  | list            | 
tourism_typemats_label[].attribute_id              |    0.0%  | str             | 3796
tourism_typemats_label[].attribute_label           |    0.0%  | str             | Тип
tourism_typemats_label[].label                     |    0.0%  | str             | Классическая; С креплением; Ручная работа
tourism_typemats_label[].option_code               |    0.0%  | str             | Klassicheskaja_zakladka_dlja_knig; S_krepleniem; Ruchnaja_rabota
tourism_typemats_label[].option_id                 |    0.0%  | str             | 772996; 772193; 772189
tourism_typemats_label[].sort_order                |    0.0%  | str             | 100
tourism_typemats_label[].url_path                  |    0.0%  | null            | 
tourism_usefulthingstype                           |    0.0%  | list            | 
tourism_usefulthingstype_label                     |    0.0%  | list            | 
tourism_usefulthingstype_label[].attribute_id      |    0.0%  | str             | 3880
tourism_usefulthingstype_label[].attribute_label   |    0.0%  | str             | Тип
tourism_usefulthingstype_label[].label             |    0.0%  | str             | Коробки; Подарочные сертификаты; Пакеты
tourism_usefulthingstype_label[].option_code       |    0.0%  | str             | Korobki; Podarochnye_sertifikaty; Pakety
tourism_usefulthingstype_label[].option_id         |    0.0%  | str             | 772206; 772208; 772207
tourism_usefulthingstype_label[].sort_order        |    0.0%  | str             | 100
tourism_usefulthingstype_label[].url_path          |    0.0%  | null            | 
tourism_wear                                       |    0.2%  | list            | 
tourism_wear_label                                 |    0.2%  | list            | 
tourism_wear_label[].attribute_id                  |    0.2%  | str             | 3967
tourism_wear_label[].attribute_label               |    0.2%  | str             | Уровень сложности
tourism_wear_label[].label                         |    0.2%  | str             | 5; 3; 2
tourism_wear_label[].option_code                   |    0.2%  | str             | 5_uroven_; 3_uroven_; 2_uroven_
tourism_wear_label[].option_id                     |    0.2%  | str             | 888709; 888707; 888706
tourism_wear_label[].sort_order                    |    0.2%  | str             | 100
tourism_wear_label[].url_path                      |    0.2%  | null            | 
tsk                                                |  100.0%  | int             | 1765583657; 1765583657; 1765583657
type_id                                            |  100.0%  | str             | simple; downloadable; virtual
updated_at                                         |  100.0%  | str             | 2025-10-16 10:39:04; 2025-09-24 12:47:09; 2025-09-24 12:37:07
url_key                                            |   99.9%  | str             | modeljuvannja-informacijnih-procesiv; immersive-3d-design-visualization-with-autodesk...; the-joy-of-quantum-computing-a-concise-introduc...
url_path                                           |  100.0%  | str             | modeljuvannja-informacijnih-procesiv.html; immersive-3d-design-visualization-with-autodesk...; the-joy-of-quantum-computing-a-concise-introduc...
url_path_1                                         |  100.0%  | str             | modeljuvannja-informacijnih-procesiv.html; immersive-3d-design-visualization-with-autodesk...; the-joy-of-quantum-computing-a-concise-introduc...
url_path_2                                         |  100.0%  | str             | modeljuvannja-informacijnih-procesiv.html; immersive-3d-design-visualization-with-autodesk...; the-joy-of-quantum-computing-a-concise-introduc...
url_path_3                                         |  100.0%  | str             | modeljuvannja-informacijnih-procesiv.html; immersive-3d-design-visualization-with-autodesk...; the-joy-of-quantum-computing-a-concise-introduc...
validity_rights_date                               |    0.0%  | str             | 1970-01-01 00:00:00; 2026-08-29 00:00:00; 3000-12-31 00:00:00
visibility                                         |  100.0%  | int             | 4; 4; 4
weight                                             |    7.5%  | int             | 400; 220; 300
