ZVIT SCHEMA YAKABOO (Deep Scan)
Total Records: 972,266
====================================================================================================
FIELD NAME                                         | % FILL   | TYPES           | EXAMPLES
book_editor_label[].url_path                       |    0.6%  | str, null       | author/view/pavel-kuftyrev; author/view/natal-ja-koval-682442; book_translator/view/mark-andrejchik
book_first_year                                    |    0.7%  | int             | 2018; 2018; 2019
book_first_year_label                              |    0.7%  | list            | 
book_first_year_label[].attribute_label            |    0.7%  | str             | Рік першого видання
book_first_year_label[].label                      |    0.7%  | int             | 2018; 2018; 2019
book_font                                          |    0.9%  | str             | Mysl; Georgia; Times New Roman
book_font_label                                    |    0.9%  | list            | 
book_font_label[].attribute_label                  |    0.9%  | str             | Шрифт
book_font_label[].label                            |    0.9%  | str             | Mysl; Georgia; Times New Roman
book_former                                        |    0.3%  | list            | 
book_former_label                                  |    0.3%  | list            | 
book_former_label[].attribute_id                   |    0.4%  | str             | 2954
book_former_label[].attribute_label                |    0.4%  | str             | Составитель
book_former_label[].label                          |    0.4%  | str             | Леся Дудченко; Маркиян Домбровский; Роман Гамада
book_former_label[].option_code                    |    0.4%  | str             | Lesja_Dudchenko; Markijan_Dombrovskij; Roman_Gamada
book_former_label[].option_id                      |    0.4%  | str             | 699126; 515298; 494999
book_former_label[].sort_order                     |    0.4%  | str             | 100; 0
book_former_label[].url_path                       |    0.4%  | str, null       | author/view/roman-gamada-494999; author/view/kristina-dorozhovec; author/view/inna-bereznickaja
book_gift                                          |    0.5%  | list            | 
book_gift_label                                    |    0.5%  | list            | 
book_gift_label[].attribute_id                     |    0.5%  | str             | 3565
book_gift_label[].attribute_label                  |    0.5%  | str             | Подарочные издания и комплекты
book_gift_label[].label                            |    0.5%  | str             | Подарочное оформление; Комплекты; Коллекционные издания
book_gift_label[].option_code                      |    0.5%  | str             | Podarochnoe_oformlenie; Komplekty; Kollekcionnye_izdanija
book_gift_label[].option_id                        |    0.5%  | str             | 715177; 715178; 715176
book_gift_label[].sort_order                       |    0.5%  | str             | 100; 0
book_gift_label[].url_path                         |    0.5%  | null            | 
book_history                                       |    0.4%  | list            | 
book_history_label                                 |    0.4%  | list            | 
book_history_label[].attribute_id                  |    0.5%  | str             | 3568
book_history_label[].attribute_label               |    0.5%  | str             | Исторический период
book_history_label[].label                         |    0.5%  | str             | Первобытное общество. Древний мир. Античность; Средние века. Эпоха Возрождения; Новейшее время (с 1918 г.)
book_history_label[].option_code                   |    0.5%  | str             | Pervobytnoe_obschestvo_Drevnij_mir_Antichnost_; Srednie_veka_Jepoha_Vozrozhdenija_; Novejshee_vremja_s_1918_g_
book_history_label[].option_id                     |    0.5%  | str             | 715218; 715219; 715221
book_history_label[].sort_order                    |    0.5%  | str             | 100
book_history_label[].url_path                      |    0.5%  | null            | 
book_illustration                                  |   86.8%  | list            | 
book_illustration_label                            |   86.8%  | list            | 
book_illustration_label[].attribute_id             |   87.9%  | str             | 3988
